username,game_count,elo
ErickHunter,8,1606.0
camus133,8,2010.0
BERNULLI,8,1960.0
jjpineda,8,2107.0
crazychessmax,8,2220.0
Denis_Rud,8,1527.25
Ritterslust,8,872.0
N7Swordmaster,8,1960.0
Andrej790,8,2029.0
alnilam7,8,2351.0
alexkanash1,8,1476.0
tano2021,8,1862.0
streploz,8,2060.0
Mikheil_Kekelidze,8,2460.0
MR_HW,8,2726.0
Crapouillaut86,8,1533.0
CHESSENGINE900,8,2220.0
Mr3sibling,8,1332.0
mamive,8,1549.0
josiniano,8,1437.0
kurbelschock,8,1214.0
Rademacher01,8,1732.0
rafalla,8,1179.0
bloodymilitary,8,2390.0
quietRookie,8,1258.0
bagge89,8,2197.0
AAlmeidaTX,8,2486.0
AdeoluAbiose,8,1742.0
dargon4432,8,1804.0
LittlePinkyPawn,8,1291.0
MarioVillanueva,8,2675.0
bodya17,8,2556.0
PawnEatingZombie,8,2245.0
olvn,8,2110.0
mikke3141,8,1154.0
Mashpotato,8,1598.0
Andromeda3,8,2040.0
moustiblanc,8,2515.0
trezvyj,8,1168.0
kootas69,8,1613.0
gbrontisk,8,2160.0
xeroxx,8,2224.0
hallahwakbar,8,2366.0
Ctrain72,8,1614.0
MitchyF,8,2474.0
CheryMely,8,2384.0
HabibAmini,8,2274.0
Jakeh18,8,1775.0
Ch5ssPlayer,8,2740.0
alissonogomes,8,1704.0
enigmaface,8,1226.0
Aleksei471966,8,1113.0
buenamor1972,8,2361.0
Hartmutffm,8,1730.0
Homer_J,8,2455.0
cucumber4,8,2421.0
fearless_fencer,8,2083.0
HaraldEtuna,8,2216.0
vitsum,8,1151.0
PapaleguasMT,8,2314.0
Cranmobbed,8,2368.0
be_gentle_in_chat,8,1179.0
MosaDgladiator,8,1163.0
Matteo53,8,1084.0
semsettinbilgin,8,1244.0
MikeTheMutt,8,792.0
hhyyuuuuu,8,2161.0
malore,8,1270.0
MihailKotov,8,1737.0
bingo-pajama,8,1538.0
LetuchiyKorabl,8,1867.0
Klavdia_Nik,8,2171.0
kopiikiikuki,8,1039.0
aleksandrtishina,8,2343.0
Kuehne1972,8,1892.0
kon_stan,8,2374.0
GolfeDuMorbihan,8,2671.0
psia,8,2035.0
Insterburg,8,2470.0
Chess_Lover90,8,1946.0
Picay,8,2307.0
doubleemmartin,8,1138.0
k0nstant1ne,8,2244.0
avelpic,8,1927.0
jefe5000,8,2302.0
Attila76,8,2585.0
GabiBuruiana,8,2066.0
Alliisha,8,1465.0
Vava1758955,8,1489.0
Andabarian,8,1833.0
annoni,8,1614.0
KL0806,8,2114.0
Gettingold72,8,2647.0
Norm53,8,2391.0
AGoodKnight,8,1230.0
PANAMAsammy,8,725.0
NickB_TheCoach,8,1940.0
ArdianJashari,8,2467.0
Mbulicha,8,1326.0
bisness,8,1709.0
Kjetil_Lie80,8,2680.0
iamakaza,8,1702.0
ChiefTuna,8,1502.0
ramin1393,8,1603.0
caissaekv,8,2166.0
chanessa,8,2329.625
joflo,8,2510.0
udar59,8,2236.0
furkanc173,8,1481.0
